ID	code_num2	code_name	Code_ID	Questionnaire Name (Tool)	Author	Year	Concept	Question	user_id	question_source_id
17	5A2B	Privacy	112	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers contain too much personal patient data to be used in an area as open as a nursing station	0	0
18	5A2C	Job Security	113	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	The more computers in an institution, the less number of jobs for employees.	0	0
19	5B	General Opinion	20	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	If I had my way, nurses would not ever have to use computers	0	0
20	5B	General Opinion	20	NATC (Nurses' Attitudes Toward Computers)	Stronge	1985	N/A	Computers should only be used in the financial department	0	0
21	1C5	Error Recovery	48	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is it easy to correct the errors?	0	0
22	1D1	Up to Date Content	50	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Does the system provide out-of-date information?	0	0
23	1D1	Up to Date Content	50	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Do you find the information up-to-date?	0	0
24	1D1	Up to Date Content	50	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Do you thing the reports you receive are somewhat out-of-date?	0	0
25	1D2	Accurate Content	51	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Does the information you receive require correction?	0	0
26	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Does the system provide too much information?	0	0
27	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Are the reports complete?	0	0
28	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Does the system provide comprehensive information?	0	0
29	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Would you like more concise output?	0	0
30	1D5	Trusted	54	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Do you trust the information provided by the system?	0	0
31	1D5	Trusted	54	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Do you think the system is reliable?	0	0
32	1F	Speed	12	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Do you get information fast enough?	0	0
33	1H	Medium	14	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Would you like the system to be modified or redesigned?	0	0
34	1H	Medium	14	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Would you like the format modified?	0	0
35	2A5	Flexibility	62	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is the system flexible?	0	0
36	2D	Ease of Use	19	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is the system difficult to operate?	0	0
37	2D	Ease of Use	19	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is the system troublesome?	0	0
38	2D	Ease of Use	19	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is the system difficult to interact with?	0	0
39	2E2	General Opinion	20	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Do you enjoy using the system?	0	0
40	2E2	General Opinion	20	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is the system successful?	0	0
41	2E2	General Opinion	20	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Are you satisfied with the system?	0	0
42	3D	Convenience	25	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	(Eliminated)	Is the system convenient?	0	0
43	1D2	Accurate Content	51	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Accuracy	Is the system accurate?	0	0
44	1D2	Accurate Content	51	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Accuracy	Are you satisfied with the accuracy of the system?	0	0
45	1D5	Trusted	54	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Accuracy	Do you feel the output is reliable?	0	0
46	1E	System Reliability	11	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Accuracy	Do you find the system dependable?	0	0
47	1D3	Expected Content	52	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Content	Does the information content meet your needs?	0	0
48	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Content	Does the system provide the precise information  you need?	0	0
49	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Content	Does the system provide reports that seem to be just about exactly what you need?	0	0
50	1D4	Level of Detail	53	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Content	Does the system provide sufficient information?	0	0
51	1D6	Relevant Content	55	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Content	Do you find the output relevant?	0	0
52	2D	Ease of Use	19	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Ease of Use	Is the system user friendly?	0	0
53	2D	Ease of Use	19	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Ease of Use	Is the system easy to use?	0	0
54	2E3	Efficiency	73	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Ease of Use	Is the system efficient?	0	0
55	1D7	Format Output	56	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Format	Do you think the output is presented in a useful format?	0	0
56	1D7	Format Output	56	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Format	Are you happy with they layout of the output?	0	0
57	1D8	Clarity	57	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Format	Is the information clear?	0	0
58	1D8	Clarity	57	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Format	Is the output easy to understand?	0	0
59	1D1	Up to Date Content	50	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Timeliness	Does the system provide up-to-date information?	0	0
60	1F	Speed	12	EUCSI (End-User Computing Satisfaction Instrument)	Doll	1988	Timeliness	Do you get the information you need in time?	0	0
61	1B3	Intuitive Use	42	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Learning	Exploring new features by trial and error (difficult-easy)	0	0
62	1B4	Number of Steps	43	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Learning	Tasks can be performed in a straight-forward manner (never-always)	0	0
63	1C1	Help Menu	44	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Learning	Help messages on the screen (unhelpful-helpful)	0	0
64	1C2	Manuals	45	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Learning	Supplemental reference materials (confusing-clear)	0	0
65	2B1	Learning	64	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Learning	Learning to operate the system (difficult-easy)	0	0
66	2B2B	Command Memory	108	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Learning	Remembering names and use of commands (difficult-easy)	0	0
67	2E4	Scales	74	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Overall Reactions to the Software	(terrible-wonderful)	0	0
68	2E4	Scales	74	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Overall Reactions to the Software	(difficult-easy)	0	0
69	2E4	Scales	74	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Overall Reactions to the Software	(frustrating-satisfying)	0	0
70	2E4	Scales	74	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Overall Reactions to the Software	(inadequate power-adequate power)	0	0
71	2E4	Scales	74	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Overall Reactions to the Software	(dull-stimulating)	0	0
72	2E4	Scales	74	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Overall Reactions to the Software	(rigid-flexible)	0	0
73	2B2A	Memory Loading	107	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Screen	Highlighting on the screen simplifies task (not at all-very much)	0	0
74	1A1	Size	38	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Screen	Characters on the computer screen (hard to read-easy to read)	0	0
75	1B1	Layout	40	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Screen	Organization of information on screen (confusing-very clear)	0	0
76	1B1	Layout	40	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Screen	Sequence of screens (confusing-very clear)	0	0
77	1C5	Error Recovery	48	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	System Capabilities	Correcting your mistakes (difficult-easy)	0	0
78	1E	System Reliability	11	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	System Capabilities	System reliability (unreliable-reliable)	0	0
79	1F	Speed	12	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	System Capabilities	System speed (too slow-fast enough)	0	0
80	1G	Noise	13	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	System Capabilities	System tends to be (noisy-quiet)	0	0
81	2B3	Adaptation to Skill Level	66	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	System Capabilities	Experienced and inexperienced users' needs are taken into consideration (never-always)	0	0
82	1B2A	Phrase Consistency	97	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Terminology and System Information	Use of terms throughout system (inconsistent-consistent)	0	0
83	1B2B	Layout Consistency	98	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Terminology and System Information	Position of messages on screen (inconsistent-consistent)	0	0
84	1C4	Error Messages	47	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Terminology and System Information	Error messages (unhelpful-helpful)	0	0
85	1C6	Prompts and Interaction	49	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Terminology and System Information	Messages on screen which prompt user for input (confusing-clear)	0	0
86	1C6	Prompts and Interaction	49	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Terminology and System Information	Computer keeps you informed about what it is doing (never-always)	0	0
87	2A1	Compatible Mental Models	58	QUIS (Questionnaire for User Interface Satisfaction)	Chin	1988	Terminology and System Information	Computer terminology is related to the task you are doing (never-always)	0	0
88	1C5	Error Recovery	48	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	I find it easy to recover from errors encountered while using electronic mail	0	0
89	1C5A	Error Frequency	103	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	I make errors frequently when using electronic mail	0	0
90	1C5A	Error Frequency	103	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	I need to consult the user manual often when using electronic mail	0	0
91	1C6	Prompts and Interaction	49	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	The electronic mail system provides helpful guidance in performing tasks	0	0
92	1E	System Reliability	11	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	The electronic mail system often behaves in unexpected ways	0	0
93	2A5	Flexibility	62	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	The electronic mail system is rigid and inflexible to interact with	0	0
94	2B2	Retention	65	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	It is easy for me to remember how to perform tasks using the electronic mail system	0	0
95	2B2A	Memory Loading	107	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	Interacting with the electronic mail system requires a lot of my mental effort	0	0
96	2D	Ease of Use	19	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	I often become confused when I use the electronic mail system	0	0
97	2D	Ease of Use	19	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	Interacting with the electronic mail system is often frustrating	0	0
98	2D	Ease of Use	19	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	I find it easy to get the electronic mail system to do what I want it to do	0	0
99	2D	Ease of Use	19	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	I find it cumbersome to use the electronic mail system	0	0
100	2D	Ease of Use	19	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	My interaction with the electronic mail system is easy for me to understand	0	0
101	2D	Ease of Use	19	TAM (Technology Acceptance Model)	Davis	1989	Perceived Ease of Use	Overall, I find the electronic mail system easy to use	0	0
102	2A3	Job Compatibility	60	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Overall, I find the electronic mail system useful in my job	0	0
103	2A4	Task Compatibility	61	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	The electronic mail system addresses my job-related needs	0	0
104	2A4	Task Compatibility	61	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Electronic mail supports critical aspects of my job	0	0
105	3B3	Speed of Tasks	81	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Electronic mail enables me to accomplish tasks more quickly	0	0
106	3C1	Quantity Output	85	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail allows me to accomplish more work than would otherwise be possible	0	0
107	3C2	Quality Output	86	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail improves my job performance	0	0
108	3C2	Quality Output	86	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail improves the quality of the work I do	0	0
109	3C3	General Efficiency	87	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail saves me time	0	0
110	3C3	General Efficiency	87	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail reduces the time I spend on unproductive activities	0	0
111	3C3	General Efficiency	87	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail enhances my effectiveness on the job	0	0
112	3C3	General Efficiency	87	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail increases my productivity	0	0
113	3C4	Easier Work	88	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	My job would be difficult to perform without electronic mail	0	0
114	3C4	Easier Work	88	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail makes it easier to do my job	0	0
115	3C5	Feeling of Control	89	TAM (Technology Acceptance Model)	Davis	1989	Perceived Usefulness	Using electronic mail gives me greater control over my work	0	0
116	2A2	Style Compatibility	59	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Compatibility	I think that using a PWS fits well with the way I like to work	0	0
117	2A2	Style Compatibility	59	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Compatibility	Using a PWS fits into my work style	0	0
118	2A3	Job Compatibility	60	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Compatibility	Using a PWS is compatible with all aspects of my work	0	0
119	2A3	Job Compatibility	60	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Compatibility	Using a PWS is completely compatible with my current situation	0	0
120	2B1	Learning	64	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	Learning to operate a PWS is easy for me	0	0
121	2B2	Retention	65	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	It is easy for me to remember how to perform tasks using a PWS	0	0
122	2B2A	Memory Loading	107	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	My using a PWS requires a lot a mental effort	0	0
123	2D	Ease of Use	19	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	I believe that a PWS is cumbersome to use	0	0
124	2D	Ease of Use	19	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	Using a PWS is often frustrating	0	0
125	2D	Ease of Use	19	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	My interaction with a PWS is clear and understandable	0	0
126	2D	Ease of Use	19	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	I believe that it is easy to get a PWS to do what I want it to do	0	0
127	2D	Ease of Use	19	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Ease of Use	Overall. I believe that a PWS is easy to use	0	0
128	2C3	Professional Image	69	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Image	Using a PWS improves my image within the organization	0	0
129	2C3	Professional Image	69	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Image	Because of my use of PWS, others in my organization see me as a more valuable employee	0	0
130	4E	Organization Professional Image	30	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Image	People in my organization who use a PWS have more prestige that those who do not	0	0
131	4E	Organization Professional Image	30	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Image	People in my organization who use a PWS have a high profile	0	0
132	4E	Organization Professional Image	30	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Image	Having a PWS is a status symbol in my organization	0	0
133	2E1	Total Benefit	71	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	The disadvantages of my using a PWS far outweigh the advantages	0	0
134	2E2	General Opinion	20	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Overall, I find using a PWS to be advantageous in my job	0	0
135	3C1	Quantity Output	85	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS increases my productivity	0	0
136	3C2	Quality Output	86	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS improves the quality of work I do	0	0
137	3C2	Quality Output	86	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS improves my job performance	0	0
138	3C3	General Efficiency	87	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS enables me to accomplish tasks more quickly	0	0
139	3C3	General Efficiency	87	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS enhances my effectiveness on the job	0	0
140	3C4	Easier Work	88	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS makes it easier to do my job	0	0
141	3C5	Feeling of Control	89	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Relative Advantage	Using a PWS gives me greater control over my work	0	0
142	2C	Perceived Personal Benefit	18	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Result Demonstrability	The results of using a PWS are apparent to me	0	0
143	2C4	Expression of Benefit	70	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Result Demonstrability	I would have no difficulty telling others about the results of using a PWS	0	0
144	2C4	Expression of Benefit	70	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Result Demonstrability	I believe I could communicate to others the consequences of using a PWS	0	0
145	2C4	Expression of Benefit	70	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Result Demonstrability	I would have difficulty explaining why using a PWS may or may not be beneficial	0	0
146	1B3	Intuitive Use	42	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I did not have to expend very much effort to try out the PWS	0	0
147	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I have had a great deal of opportunity to try various PWS applications	0	0
148	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I know where I can go to satisfactorily try out various uses of a PWS	0	0
149	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	A PWS was available to me to adequately test run various applications	0	0
150	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	Before deciding whether to use any PWS applications, I was able to properly try them out	0	0
151	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I was permitted to use a PWS on a trial basis long enough to see what it could do	0	0
152	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I am able to experiment with the PWS as necessary	0	0
153	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I can have PWS applications for long enough periods to try them out	0	0
154	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	I don't really have adequate opportunities to try out different things on the PWS	0	0
155	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	A proper on-the-job tryout of the various uses of the PWS is not possible	0	0
156	2B1B	Tutorials	105	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Trialability	There are enough people in my organization to help me try the various uses of the PWS	0	0
157	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	I have seen what others do using their PWS	0	0
158	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	In my organization, one sees PWS on many desks	0	0
159	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	I have seen a PWS in use outside my firm	0	0
160	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	PWS are not very visible in my organization	0	0
161	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	It is easy for me to observe others using PWS in my firm	0	0
162	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	I have had plenty of opportunity to see the PWS being used	0	0
163	2B1A	Observation	104	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Visibility	I have not seen many others using a PWS in my department	0	0
164	4B	Management Expectations	27	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Voluntariness	My superiors expect me to use a PWS	0	0
165	4B	Management Expectations	27	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Voluntariness	My boss does not require me to use a PWS	0	0
166	4B	Management Expectations	27	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Voluntariness	Although it might be helpful, using a PWS is certainly not compulsory in my job	0	0
167	4D	Voluntariness	29	Instrument to Measure the Perceptions of Adopting an Information Technology Innovation	Moore	1991	Voluntariness	My use of a PWS is voluntary (as opposed to required by my superiors or job description)	0	0
168	2A4	Task Compatibility	61	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	I can effectively complete my work using this system	0	0
169	2B1	Learning	64	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	It was easy to learn to use this system	0	0
170	2B3	Adaptation to Skill Level	66	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	I believe I became productive quickly using this system	0	0
171	2D	Ease of Use	19	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	Overall, I am satisfied with how easy it is to use this system	0	0
172	2D	Ease of Use	19	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	It is simple to use this system	0	0
173	3B3	Speed of Tasks	81	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	I am able to complete my work quickly using this system	0	0
174	3C3	General Efficiency	87	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	I am able to efficiently complete my work using this system	0	0
175	5A4	Perceived Competence	96	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Ease of Use	I feel comfortable using this system	0	0
176	1A	Visuals	7	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Interaction Quality	The interface of this system is pleasant	0	0
177	1D4	Level of Detail	53	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Interaction Quality	This system has all the functions and capabilities I expect it to have	0	0
178	2E2	General Opinion	20	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Interaction Quality	I like using the interface of this system	0	0
179	2E2	General Opinion	20	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	Overall Satisfaction	Overall I am satisfied with this system	0	0
180	1B1	Layout	40	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	The organization of information on the system screens is clear	0	0
181	1B4	Number of Steps	43	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	It is easy to find the information I need	0	0
182	1C	User Assistance	9	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	The information (such as on-line help, on-screen messages, and other documentation) provided with this system is clear	0	0
183	1C4	Error Messages	47	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	The system gives error messages that clearly tell me how to fix problems	0	0
184	1C5	Error Recovery	48	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	Whenever I make a mistake using the system, I recover easily and quickly	0	0
185	1D6	Relevant Content	55	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	The information is effective in helping me complete my work	0	0
186	1D8	Clarity	57	CSUQ (Computer System Usability Questionnaire)	Lewis	1995	System Use	The information provided with the system is easy to understand	0	0
187	1B3A	Intuitive Wording	100	PUTQ (Purdue Usability Testing Questionnaire)	Lin	1997	Compatibility	Is the wording familiar?	0	0
188	1D3	Expected Content	52	PUTQ (Purdue Usability Testing Questionnaire)	Lin	1997	Compatibility	Are the results of control entry compatible with user expectation?	0	0
